name,description,coordinates,image_url,category,rating,city,country,website,address
Lipenská víla (The Little Mermaid),,"48.639736899999996,14.1762833",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJcZLQi4R7c0cRUQu6awTYLb8/photos/AWYs27wUYiqoRffEiolyxIboliwoJwCfc6PVGM9hOw-lcZJ3WUnm9OKUwmItdaKm6aKGBwnWu4p2r8aVnLqpIsMzofdsRqatTYH6LPq2LpSjsUQqFVIixWbljk0Nl1d4nbGpvcLJvjLhP7hkXF1azPIIbUtIRaCuu61vET0M&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.7,Lipno nad Vltavou,Czechia,https://mapy.cz/zakladni?x=14.1761367&y=48.6396787&z=17&source=base&id=1839072,"382 78 Lipno nad Vltavou, Czechia"
Unesco Werelderfgoed Kinderdijk,This water management site shows how locals have dealt with their unique geography for centuries.,"51.887740699999995,4.6380074",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJYwbhStYtxEcR3hPi1ymKuC4/photos/AWYs27wgsMOe9MGpYdhY_R21ag5qU_bb99W6CqD7EA_B2E8l3LHxXG2qCN_NWU1Pdk1Be1cgYI5-RJKTzvLwaa9Sh8owSt7Njj5CSrHo6Iu9vRgkKVLLq-jhWDmzpTMGK_F_PbtYHEVBqXj23-qW5Ip2ksQ0IET7zwfJJ4Q8&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Museum,4.7,Kinderdijk,Netherlands,https://www.kinderdijk.nl/,"Nederwaard 1, 2961 AS Kinderdijk, Netherlands"
Hagia Sophia Grand Mosque,"Iconic, storied mosque set within a vast, domed former Byzantine church with stained-glass windows.","41.008583,28.980175000000003",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJJxwBkr65yhQRrk9EN29vbiM/photos/AWYs27xF8WgGtT-_7yOjQcgxT0JcOtJKPknkI9QwKDJJZhBgUYWsjhuRKQOufUU_SRCAvRyrCX8mx5xGJunSgFQf4WRb7G1VwscY76eZ6yPMUcn-cm-6QpH8c70lJarvK4WgvrStZ5_wBnYQg1jUXubyZhpa5_9TkI7hANHw&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Mosque,4.8,İstanbul,Türkiye,https://ayasofyacamii.gov.tr/,"Sultan Ahmet, Ayasofya Meydanı No:1, 34122 Fatih/İstanbul, Türkiye"
Mount Fuji,"Iconic snow-capped peak & volcano, the highest in Japan & the 7th highest island peak on earth.","35.3606255,138.7273634",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJmcj9QppiGWAR36TzFsn8oaY/photos/AWYs27zaGAyEKiFEKZLgekv9ltwisIRdRPzqBvByLWal75pn8gZTYf63jq1uBDeOmchd9gQLg0odKtNtX3hN3ERzS4mYohk-6xEN5TGJ2iWNhwIYOsZwC4eV1hwXYmkf0ZL30JKrKx3ycXK-mdMrRot8OYZmY5edFFjdDE85&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,4.6,Fujinomiya,Japan,https://www.fujisan-climb.jp/en/index.html,"Mount Fuji, Kitayama, Fujinomiya, Shizuoka 418-0112, Japan"
Stonehenge,Legendary neolithic monument made using stones transported from Wales & built for unknown purposes.,"51.178881999999994,-1.8262150000000001",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJEfYKhTvmc0gR3dLTvOJwkZc/photos/AWYs27wdoWTXC4l05Zp-QiRRgJnGSIRuMyHv2QYROvzB6OICbZ8trZQaBZKICzFATZfQ7ksurniE_omMYANHF3D5JLXM5bzeIb1Uyk-4KYsJm9nzSRtrfCbUAWMi-_VTPleVSmHakVxt1u-6PIobNmc5DIjeWIlyK7F_J358&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.5,England,United Kingdom,https://www.english-heritage.org.uk/visit/places/stonehenge/?utm_source=Google%20Business&utm_campaign=Local%20Listings&utm_medium=Google%20Business%20Profiles&utm_content=stonehenge&utm_source=Google%20Business&utm_campaign=Local%20Listings&utm_medium=Google%20Business%20Profiles&utm_content=stonehenge,"Salisbury SP4 7DE, UK"
Big Ben,16-storey Gothic clocktower and national symbol at the Eastern end of the Houses of Parliament.,"51.500729199999995,-0.12462540000000001",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ2dGMjMMEdkgRqVqkuXQkj7c/photos/AWYs27z2hiwapNK1h2YruPb070CfC2rqX9fHLA4bWfhBez8xO-aVU50mJNtVbSzOvFCf0FXywyNPBvbRvL1oEMzGgHMIoxBU3YxaeH6dFv7JVOzqCBKyIH3X6JkgB9PLMqqlbd1qgF0yA5GbYUsygZip7LVbwZ583yx3gz1l&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Cultural landmark,4.5,England,United Kingdom,https://www.parliament.uk/bigben,"London SW1A 0AA, UK"
Neuschwanstein Castle,"Turreted, 19th-century, hilltop castle built for King Ludwig II, with tours of furnished rooms.","47.557573999999995,10.7498004",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJXaNOxMr3nEcRo7ud02uGpsg/photos/AWYs27zeAy5rwGnkCaKXv5REFh9--6VCURbZOEjCUCGXkCF4PcLWNVEklX1LsSQODJQTXKR-AvMIcwLSEABbpHaL9A1xYDI9eEMHiZsS13itVa0a4dHwxvd_oXzNC2WDfI9HCYoayUcq4gMveVM45uwf2YpKmbALj4up3O-y&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Place,4.6,Schwangau,Germany,https://www.neuschwanstein.de/,"Neuschwansteinstraße 20, 87645 Schwangau, Germany"
Maungawhau / Mount Eden,,"-36.8775792,174.76405169999998",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJSUhhFtJHDW0RXdFKvthTzag/photos/AWYs27xYvxcDuxkHNbAc19_Zbwob1GkvyX9g2d8KLbo9bKvJfdgHm7abay23zEc6YC9HTHqO6ZtKmi8XB880jMd8nszPC3tI5wJJXLtUEhBGUZ8dP3bcbibyIThDWBKhuY_WQaaqOtjbLp0KCyJzM7MAIIOze6nI-8ebq48I&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,4.9,Auckland,New Zealand,,"Maungawhau / Mount Eden, Mount Eden, Auckland 1024, New Zealand"
Loch Ness Statue,,"57.3643479,-4.3930041",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ149vWo0Sj0gREGYvKnRokQg/photos/AWYs27wqzJDauvOA4p37EqnjPuC6Gf4BZ7cG9cnzD0HWBmEsZSLCXmxANRbECS9RooOpN3wfekMcIfdGV41q6DYeUOYpwgfnk0UfXraG3lnxqf3ZIO6lQE72grZLoM_YWpCBnnZabnK4Hap8Fl61eM8LmNHtuSxfSFpGHLH6&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.1,Scotland,United Kingdom,,"A82, Inverness IV3 8LD, UK"
Ahu Te Pito Kura,,"-27.0854358,-109.3015691",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJVfByIG_uR5kRYbLVYq2zRlE/photos/AWYs27ySWhkPp4abuDCeH9dSQnc5lXNq9MproM41-tIw6Or-ug9Q8ceYphaFTgy4yGlRNvGuj0dV-zNWJ1PPKAAlb5NjpQ5FecQ7heMMvqG67l3HnJqeHF5NpS9hKRV1fy1Aw9NcmeUdXdLZ1Wg_X9nsMK9L80SrjEfnOurb&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.6,Valparaíso,Chile,,"27°05'17.8""S 109°17'58.6""W, Isla de Pascua, Valparaíso, Chile"
Christ the Redeemer,"Giant, 30-m-tall mountaintop statue of Jesus Christ, accessed by train & offering city views.","-22.951916,-43.210487199999996",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJP6FKmNV_mQAR3gKVAdeEyZ0/photos/AWYs27xxE6xx2krBeHs84VyhCKIFch7sg2lA2QzP-5WadqH_BYTo1799QuBKgvQIJqOL6PZKGHO8Tbl-8FYxRvcBtVvQCJs47KXliYJcIs6b5B8n2iyLCCdXP2QmognPbxsNKZfyu83dA4yZy8TCEsDUpNF6QqMiIViXyjag&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Cultural landmark,4.8,Rio de Janeiro,Brazil,https://santuariocristoredentor.com.br/,"Parque Nacional da Tijuca - Alto da Boa Vista, Rio de Janeiro - RJ, 22261, Brazil"
Edificio Carrión,"This iconic, Art Deco landmark built in the 1930s features the name of a soda brand in neon lights.","40.42045110000001,-3.7065669",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJCeTLWHwoQg0ReGpwiP45wwg/photos/AWYs27x0J4qCvcs8-7zEjSLZzPanxBvy0cZRKJ2axeLQtrCeiygRnlaun8B1Yd8IneA5yh_7j6GIL4dMCTl0ZwQgy6RT1OAold13lcn4JfvcM957MpoU_bOZHuFfhU0pK6HQjUEEo4GExsLHWxr47Lmz-G0JjGVpALzdhuPq&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.6,Madrid,Spain,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextoid=c608f7d9560a4510f7d9560a45102e085a0aRCRD&vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD,"C. de Jacometrezo, 2, Centro, 28013 Madrid, Spain"
Tower of Pisa,Elaborately adorned 14th-century tower (56 meters at its tallest point) with a world-famous lean.,"43.722952,10.396597",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJzYhOxKaR1RIRA_xU1bGp7DI/photos/AWYs27x2DzqXqmnuIfp394NyRR9qeXmzD58wXJ5QiGknuywwaJ1KMpbp8WCuT--fILWmST3uE8LgtxwQh7PN83r9TrY47ypFlr_f3bB9OwIhcwGECoiyy4L_iXQnwzQTGUZ0HI3_s5C_uGzNCXge8hKQbQNmX3Er3C4gnrum&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Place,4.7,Pisa,Italy,https://www.opapisa.it/visita/torre-pendente/,"Piazza del Duomo, 56126 Pisa PI, Italy"
Little Western Wall,Small courtyard & pilgrim site with a section of  courtyard wall surviving from an ancient temple.,"31.778470000000002,35.234111500000004",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJFdaFYsgpAxURusc0TFWuKQ4/photos/AWYs27yZwpRqjaxCEt6P6ab9762qs2zifN6chkCwy47XlBFvwBMrQdkkEdmV9lEE3PF7U7Z5WMXTVYCu8h4VgHLzJ33KFmiuUGEyXdcq4-nogTu37C1WUimBPq80Oe39EokQibtrRXcsPr7u0KJ-5Re5qXYJADVVKzjwB0M&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.7,Jerusalem,,,"Q6HM+9JQ, Sha'ar ha-Barzel St, Jerusalem"
Journey Behind the Falls,Year-round site with Horseshoe Falls views from below & behind via tunnels & observation decks.,"43.0791958,-79.07849619999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJe0zJAwlD04kR6lp-Q--T-Iw/photos/AWYs27zX8o4kJQ19YHIqDh7hkygfS2xZBt1-QhiJLJPX8g_Q2weTC-3P21wENvm6dRg-sXgQKBklXcWMuTOkt4EMByPJZZGZAE3LtGrHXZH6oL8ZQfsVrzHcEU8l9OwDRvsj-p2-4o1OtBRuoxq822oxgGNdE4BxdESNuFTl&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,4.5,Niagara Falls,Canada,https://www.niagaraparks.com/visit/attractions/journey-behind-the-falls/,"6650 Niagara River Pkwy, Niagara Falls, ON L2E 6T2, Canada"
Burj Khalifa,"Spired 828-metre skyscraper with a viewing deck, a restaurant, a hotel and offices.","25.197197,55.274376399999994",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJS-JnijRDXz4R4rfO4QLlRf8/photos/AWYs27wXrqhjtr_JgG9TIDrIaLkuG4uWIGIXKqivP9wcatkW4DgLcNSMlzxUCFwDZ_NaBWN63dYr4gwaZznkLQkkTsViPIT2-luYPkDscovTXP1E_YrTsxU_7hRvjXYhOyaHy92YKUbaYgDfNDuHl_BuQMGrHegGQkDp-WAI&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Landmark,4.7,Dubai,United Arab Emirates,http://www.burjkhalifa.ae/,1 Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
Bran Castle,"Dramatic, 14th-century castle, former royal residence & alleged legend of Count Dracula inspiration.","45.514902199999995,25.3671637",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJMd4VpOVHs0ARf6sh2ZInks8/photos/AWYs27x8U44MSw-o2jj20qKU3JYNROZJEmTugb2hBGstlbLNiBKteTW1WqhJzElLHG6XJlAVxFzyHkulELpVu9vSYoOqk0v0eRg1LT2pwRUem_7Evc71Bq8OQizMWfeIrAw-E9nBKRhT4rC-byTNT7ZmCtitb5zopzNShNWT&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Place,4.3,Bran,Romania,https://castelulbran.ro/,"Strada General Traian Moșoiu 24, Bran 507025, Romania"
Manneken Pis,"Iconic 17th-century fountain with a bronze statue of small boy, dressed in costume during festivals.","50.844992999999995,4.349989",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ0T1eGXnEw0cRH8GwIKZAuBc/photos/AWYs27z5ULEX8xi7cOsOwuNMGD2ZZW-P29UfTHuiVd3lHVhAYjgRe1xbYqMyeMIHvyuT_iN89MxPdFJzK8Jk5eTHkB-vgt6Xh_-uJWXnkyAA43cA5661R_FehSpR5nTnCoZ8GYCWjonu0ZA7H2YTuRK10JiBeudRqURhYmYg&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Park,4,Brussels,Belgium,https://www.brussel.be/manneken-pis?_ga=2.54717667.97219390.1561566058-1522489991.1561566058,"1000 Brussels, Belgium"
Everest South Summit,,"27.9855588,86.9249347",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJfalGF3FT6DkRx1AvzY8cb3I/photos/AWYs27wg4j0UZeOb6GKD2toEFUekjBi5OWIS8WfdF82DhI4pubD-ZdBv2gqTpfnYttmRKP9iu9ZsJsxqJ_hTPPhU1oPxahycTTfh7-7RTA6dauVR4HHlxd_QhsHo8Xbuk_jgeld7CsLhEUAGzmSTrdgO5pHDna20sC047r4o&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,National Park,4,Khumjung,Nepal,,"XWPF+6XF, Khumjung 56000, Nepal"
Haram Boundary Markings - Awali Side,,"21.341307999999998,39.93989870000001",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJL39-E9EHwhURdsaphSr4CfA/photos/AWYs27wCBUZFo02BmshrIOcCfZpmk_zNxe1e2it_iwblL0mX1CcWT5DUFDT33-O2D-Eh4A5KwXQATyCP3WgFTLBmZyAY8q2AeLdSHDOukFdrwU-6LlaHRo3QcnW7KuQAs2hF6tSoesL4UU9N3UzTgZL74AWHWcDBr-BG1-1R&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.6,Makkah,Saudi Arabia,,"8WRQ+GXC, Al Mashair, Makkah 24253, Saudi Arabia"
Brandenburg Gate,Restored 18th-century gate & landmark with 12 Doric columns topped by a classical goddess statue.,"52.516274599999996,13.377704",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJiQnyVcZRqEcRY0xnhE77uyY/photos/AWYs27xKTAlbIqP2V_aRQxJZ_zber3HSPIgKafjYfhMVf_RZKbPO-J4jABqUfZsTwPSsvGOEsI2pOYSfgzBUoF-8pWKDtnZHg--j4m1sJMNtHQ0J_YK2iA3oymyHq749UWfpNIV8YK2VgPg-4EEL66bg5Sp95EoKu4zdgYh0&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Place,4.7,Berlin,Germany,https://www.berlin.de/sehenswuerdigkeiten/3560266-3558930-brandenburger-tor.html,"Pariser Platz, 10117 Berlin, Germany"
St. Peter's Basilica,"Late Renaissance church by architects including Michelangelo & holding up to 20,000 worshippers.","41.902166699999995,12.4539367",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJWZsUt2FgLxMRg1KHzXfwS3I/photos/AWYs27zzsAmJOWS-p8RsyZRwq4QQ1CPjNKLvJ3p_uP9AruKNt0m_U530Gr4cABuLXY8YChkji3n-JjDWYh-4ktEMwurs60_1sQCJvKAE0hO1CIZdAHtdvXqP0Xms8a6HU9hvLTylpjLvkTx3fsLzHAuCs3PuU36LHFKYmh8Z&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Church,4.8,Città del Vaticano,Vatican City,https://www.basilicasanpietro.va/it.html,"Piazza San Pietro, 00120 Città del Vaticano, Vatican City"
Mont Saint-Michel,,"48.636063,-1.5114569999999998",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJs-6cfNaoDkgR_sMNfuRMg8U/photos/AWYs27ylOpJ1QdfutqyqK-Bx0eOmzENwfCPI50RNcor-wXU0jWrHMGS36P0Ip5urBclTUhJ9vZnArPQiV-1KeVK3XDfTPu2RLYPxVaCVilL1uNGNV8cgpkt_01ETTgtpArGLhV33iIFtDLPNefcSe2aL0T_CkKPxkXmikNnB&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,,Mont Saint-Michel,France,,"50170 Mont Saint-Michel, France"
