name,description,coordinates,image_url,category,country,city,address,rating
Hopperstad Stave Church,OPERATIONAL,"61.0774644,6.5690798",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wa6v_T7T-rUjWjTyGwRKWanMVBO9a6DHJ2c0OT2tvW4VfxbWQ42J91htRd1661ugUGcy_TzD0wNOo3gA78blikY9rQSWe1fYPn3GpcVnRQPEY0UxUsaLuYjT1dXCkX33UlyJn0arn97NB4aj0hQjMKuh1p9uXDEeOd6v-hMd8L9Z09&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Norway,Rv13 53,"Rv13 53, 6893 Vik i Sogn, Norway",4.6
Site Archéologique de Volubilis,OPERATIONAL,"34.0719819,-5.5523387",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xISsXeEATmD7F5x-9F0vs316vHwrtc64fjnNAmCY-uiu_PLl12XXVB63_G2UQHXK01W1TzQClsz8je16AB2ueeQ9YoaMuTuh1cx1rJGgF7SmcXwfpoZCqhe7cIeAxBmap6RI5G94MOwqaTyoUq4WtBfjhbPSXfkhUxdv64sphgPoIp&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, museum, point_of_interest, establishment",Morocco,Meknès,"Meknès, El Menzeh, Morocco",4.6
Bourbon Street,OPERATIONAL,"29.955616,-90.0683387",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27w5sYiSJIBLUvJzAYTQxsPEv9czBKBG-89fQfjNDfpeqnGKEAuIDIYbunRkV9JAjn-9GGE2vOACOVjFsRex5YdZQVuySTwsVmU1BKlj-L0du6VMKxqlHR-AcDOZQn_WtfHZDrMmFapNzRJxCP_PrnM4IqOVjV9afKHw_Z2hzWnRRWvU&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",United States,New Orleans,"Bourbon St, New Orleans, LA 70112, United States",4.5
Hallgrimskirkja,OPERATIONAL,"64.1420229,-21.9265493",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wmkcVC9s___YxA5gDvDz3dC1tbSHCHtWUku203esHdGpQ930kik9cNA0PRXZX9RS_UfuZk8MtRaZfsEkSafFKwFliAT2XWf1e1v24uMgBnBqNHL6N40EsToaTcIdSZBUdSAqC9eiI94fEcDAoXje7oI9NCcblI9CltdNdErytIwf7j&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"church, tourist_attraction, place_of_worship, point_of_interest, establishment",Iceland,Hallgrímstorg 1,"Hallgrímstorg 1, 101 Reykjavík, Iceland",4.6
La Boca,OPERATIONAL,"-34.6394576,-58.3617911",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zjfQUhkV49MWgoEEqZ-kzq4J7atprmympMIWXSI1UVpBm6XbJu7w5FM89yi1r-75GBqbEcrYDOQlay6Qbpk8D7B5uTRE4_UkImsP_5_W_jpkLN8h0ZUoSTGTXLWxINEWL-izwo3aaCWak4K-oqYKa-PRnAy8SFeExXjFPKyjTqF1Qi&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",Argentina,,"C1166 Buenos Aires, Argentina",4.6
Plaza de Oriente,OPERATIONAL,"40.4186362,-3.7120978",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27ytt9D5F4pHVkI8OTkKosNX-gzOKOi7S9liGEXPeuEjHKnlGLJiRCiJzol34RmjX6Kq-Nb_E2wG2qfVfpcuH1jMrgZz2ucK71QLkWNStI7TTSLvLWr73y1VuxZvELQJsT05aq_gaZbEIwQo5t8GeJSRtwxwsf08vJYcrkon8tras1G_&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"park, point_of_interest, establishment",Spain,Centro,"Pl. de Ote., Centro, 28013 Madrid, Spain",4.8
Hassan II Mosque,OPERATIONAL,"33.6082229,-7.632668000000001",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xjw-r_BOFwcsEaBjPiCI3sh8tVa4dUN3QuqFwKmVR8DPT5mgcCqcq_eqUXjuTHn2840s0IUXGNGPM11uccWc0hggNmBc2rRZbnbRy5icgn-6RfF1KSKTebPjNC_JLznN4_dVYLLrWFjl3CiabMOq5mCzc8RJQ4hFGQVk5W1p8X1vE&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"mosque, tourist_attraction, place_of_worship, point_of_interest, establishment",Morocco,Boulevard de la Corniche,"Boulevard de la Corniche, Casablanca 20000, Morocco",4.7
Lago Titicaca,OPERATIONAL,"-15.8177558,-69.9719992",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zeMsdMxX-AHhLNxRPiChpUnbqXY11T1e1_5MGxyUbdrxmyEAfkYxylAN_xOkPNvozMO3vs2WRXrwfzQotR1p8Y530pzooWA4q297itY_MTP5ilp8QHlCnhDMZGz1iODzkbhHl6ZZWOfRALHNtiFZP4E8Om7d1sU8ne-5B_2lu2MHow&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Peru,Los uros,"Los uros, Puno 21001, Peru",4.6
Hungarian Parliament Building,OPERATIONAL,"47.507121,19.045669",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zDklTMVqSTjqg3Nqzx2KmsOR5x9qJleUVn8x2nae0Xdz_nKUFXb25HzvfABmh3z1OOQt2tO8NeFoDHhDNcqT-c99bAMhnsqeNsRwxTNZ9QX4tOcyz_UKHKK8zYOFVXRegFZAe1SueC8DmBx1IP4V7PmsgCwRtz4ktj_8-KBjZiv7a7&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",1055 Hungary,Budapest,"Budapest, Kossuth Lajos tér 1-3, 1055 Hungary",4.8
Leptis Magna,OPERATIONAL,"32.6360256,14.2905652",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27z6OHP6PRh2TqvjKVQz4f_Nn6V12RqtDzVS1TezT-j15-wziwY-hNtHWMC-ZC8XcVGUDnMl_fjsxpi9NfCUhnUM7ExniOT2343zqXHOUHaufPxBIedB9Qn6PpkWuPjpDf1kNyoojiFkaruJzKGivSjCXQAqAxs0aCIY4puh1lTsm4KP&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",Libya,J7PR+C68,"J7PR+C68, Khoms, Libya",4.5
Millennium Park,OPERATIONAL,"41.8825524,-87.62255139999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zFYOVdp0zu5M5zWRDQiOvhd-kDqylPSy_p3kgfupDXxF2MfKOjWdBS2VK1cdSz-Fo7p78vr_6WIr6JdFHFHJT_fR8kBKNTCFMZXIY38eGYM7NoVGWWGky8dHrlDQH437__TGG6xyGeZJGK8qkIGlC9us3STM7_03oBp3CrVjw3FklH&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"park, tourist_attraction, point_of_interest, establishment",United States,Chicago,"Chicago, IL 60602, United States",4.7
Brasão Português,OPERATIONAL,"-15.0477162,40.7258114",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wCXIKmmMsUe8p4Et-QAoLDTtrjEfXKsJpYJvppUt7OH0gLP8a0BfgDx5kXfmOiO7QmFuE7CrGmeuIRk5apwHGDvg154EnXKact-WTnq66VvahuD0wj4-kR2wlAtdsdJxAe4gu6gB3_XGJlZ-FDCX8DUq50BcyrB8kUc5sfOn0zFFLp&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",Mozambique,XP2G+W8,"XP2G+W8, Moçambique, Mozambique",5
The Gateway Arch,OPERATIONAL,"38.6251269,-90.1867504",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yMy5e1ScRkpTqZz9kMB1EwJcALdk_Eia3vOlHJfemndqQ7Mf3QJkKofzWqy-PNCpVRVxTxgcjf-WmkSQ6Dg6H-sB_7dV5dD1WIKU40n5KDev0dbufN0VTQ4tH3PY8DTlwQqfvbw7EIuPl3g0fF8BrBsekZZJSI-c_QZ6UJzZJpAYoP&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",United States,St. Louis,"St. Louis, MO 63102, United States",4.7
Cologne Cathedral,OPERATIONAL,"50.94127839999999,6.9582814",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yPsz2TBBj5vg34NZizQpaz_rI4R_er-QxW9f4PGkJ7BK8s2r8-l2G1hJtYv8uhc6pSflmOTsD66x3XzMb1xfInz8T5xkfSPLllIYUyQGvBTtLAul_32w00KPq2ovqgR3Hk4_sm1_tZJGP3to0PQr3isMaoXT_0DxJ8LSRKbPabhaWz&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, museum, church, place_of_worship, point_of_interest, establishment",Germany,Domkloster 4,"Domkloster 4, 50667 Köln, Germany",4.8
Pu'uhonua O Honaunau National Historical Park,OPERATIONAL,"19.4087958,-155.9026125",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zjXis604IkkjW30XQN4rfqr62iA1_LSniU164_ZYts_sQk1FOHlLaDBQvZYnDA2DmymofzMprnbiQTdvwnfYa-_2yzr4HSjKRYUA2fPdNBAldekf8o0x8B_MMx1XgpmfJSEU9ImnB6xaF5gXnkt638dvV0QgbawYN81sgf7RRo7fEV&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"park, point_of_interest, establishment",United States,Hōnaunau,"State Hwy 160, Hōnaunau, HI 96726, United States",4.7
Canals of Amsterdam,,"52.3720805,4.8886558",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wXWasQYazea1P8ucLovJOaQ1UeXlZtX2YGV_x03hhzuQWWKsrvpwyiWDsZ0w9LP-_ubnIPMsDlZvE8yYFw7eOp73ZwNatRDHcH26IeITAzwyqqQnqg0grobEJMiYP03FeRqIjAPBR2X_8P1UMOrXCLTvZyUuwqrdJbZF5u-ktDGEVv&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"natural_feature, establishment",Netherlands,Canals of Amsterdam,"Canals of Amsterdam, Amsterdam, Netherlands",4.7
Nyhavn,OPERATIONAL,"55.6797936,12.5907135",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wrn6K0fjpaCI-W9sx-Nmlap_mIuBMDwjEk6uiUhcpiV6lXCGACyflNOYC0FZHG4m7NvvWjkmQP-y__DwwNizr97wQvmN1vOiV8X6e9aY0SWOQGf83T25WL24qRo1Ne7miHh9she1Ij6kVFqPRwqwW7vZbGfactXCxiPzWKrul4157Y&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Denmark,Nyhavn,"Nyhavn, 1051 København K, Denmark",4.7
Pyramid of the Sun,OPERATIONAL,"19.6922729,-98.8435035",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xmrdNE6eWu4uVdn2TNq-vGNonFUrMfQoWgn87G1UP5PXjzHZkZCmvlieBIazmBOCpl7cCKtz_H5Ub1gTPRxYowRWOKgBinBOdgMh4WqFoBLWrR1dqjbu7mphgsKDlIsHUE4emadD6TAgNlhPBfhtQY5umxCAm4REv6C7Qo8Elk9T-2&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Mexico,55800 San Juan Teotihuacán,"55800 San Juan Teotihuacán, State of Mexico, Mexico",4.8
Great Barrier Reef Marine Park,OPERATIONAL,"-19.2589635,146.8169483",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wtUkX2aHnvMCQFScf5CuuwPDKbTZ9LqoBbhLgkJnYkLqVZeiMy8BU2BXdvPeVZAFm1kLSyiGTuPP5cY0i2F1o-UJYe7x_vL1QMqS-iza1U16IlaPwLETB8QgbO-GT7rYJGjNRxfhUFlBJBlijb4-c83YAITj2kP2Wc9iC9UzBCuzIW&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"park, point_of_interest, establishment",Australia,Great Barrier Reef,"Great Barrier Reef, Townsville City QLD 4810, Australia",4.7
Castle of the Three Kings of Morro,OPERATIONAL,"23.1500711,-82.3565416",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zEpLfaOlTiSTvOINL9dgpl_he4mRC1cP4ro-_p6TIuJrdJo7oooicS5bkqfXPZZaHSoiNVMy4CD9OWV--DT0LdlfaPvCHFL3ic3mYZeRqdxXitisIb1ipTNhuGtNS-8WbPfCUcUEFr_WluGkLG8QFEN5gPFw2z5KXQpKQjvij2r1pu&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Cuba,5J2V+34X,"5J2V+34X, La Habana, Cuba",4.6
Stortorget (The Main Square),OPERATIONAL,"59.32501519999999,18.0707233",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27w-aXsAj63QrYxFw6r_pIs5WJ7KoYkJUcs54lztjZlPMn4ivG6A-ohbPjyfFCx60hmpP2UH4Hm4eMeufGEucdigwATgsdOfO9i2G7esL7HwgsaFCPIl72qdBTNiJTMbvv29iVwhDBsc3AJq_I52DK2iNQECEMHrtkY1KbF77XEJ_sc&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",Sweden,Stortorget,"Stortorget, 111 29 Stockholm, Sweden",4.6
ሓወልቲ ኣኽሱም ቑፅሪ-1 | Aksum Obelisk No-1,OPERATIONAL,"14.1320767,38.7193644",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27w2pgx062nsTbmvTY9fvHKoPmdVXDG9-AL3x4Yqb-8aK_DKpmY15s8X-vsaEYl6BFNhxr77ecQm_CdFyap4jhYuzFDI5uvoKouYNxcBovZh9DP2vHIs2hniYXPc_OFr25_kyww7zavEd7kRalvdQZ2GhhRa_MxxHDVH3sA2a3-OMHdf&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Ethiopia,4PJ9+RPQ,"4PJ9+RPQ, Aksum, Ethiopia",4.5
Constitution Plaza,OPERATIONAL,"19.432642,-99.1333215",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xGPYwiMmFXAYuVR7Bf6mJzRO2dIP2dJ_4aCbheaMxboCDliPxogadUemTs1f9_zOCrSw5hxzxT7jCzDZooZsXJXbTSeNTeSezwmYdOnvnKknd2-4Qy1e7Pj1GQWLiiXgIiji6pQD2GOwOf2hx7vkwh8K3mXTADZh3nVn5_2mejSrc8&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Mexico,06010 Ciudad de México,"P.za de la Constitución S/N, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",4.7
Les Ruines de Carthage,OPERATIONAL,"36.8572886,10.3321886",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xQ6s-DSXmbVF-Yl9DBKIRpzQxTcuFcR8nEOhFzNjhM-AbGmsNTIReXnNgpD8hVhk53TQHo4O0l7hKyzh_kBR-YYSJZCRnKiEl5GxEnRgNWEsQA4-PSkAgtMpKd3clhxui1VQ2XnDd5dlkPddx9E6-T0P2-EOYWlnMKVsFNav0j3f1T&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",Tunisia,Impasse des Thermes d'Antonin,"V84J+WV8, Impasse des Thermes d'Antonin, Site archéologique de Carthage, Tunisia",4.6
Suomenlinna,OPERATIONAL,"60.14539999999999,24.9881401",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xcC6OIO2oH_uwpazi-Y88f_GmZruJR5-nt5pBGHNgNqLTYkoMtZObM1nOauIDhpVMEUAakwubdw38pLJFrUp0Enwk8TBtfOr1zwvKrBjXtQEg90X0d7fyoGzVbncvPSuFS3ZsbH5hATsPE5ORxkcILpphShMzOUytC_WeGlvsP_llG&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Finland,,"00190 Helsinki, Finland",4.6
Stone Town,,"-6.162222,39.1920735",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zGkkXetVbanMGJXTd410pc-Gu1fWnBBNnRHf-Q8Ms-KRjeWfpb8ZWPR0poGT9POgiD-217bNWkizYUTJ4Y5k2RzOQU3jUyQqlGLU1F1eUaaEtPIrDMhN_4W_wd203peVeoIp7l2PFMe-o23Biz3X_ZOeMJCEXZ3Yaf71t2QgJAhRN7&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"sublocality_level_1, sublocality, political",Tanzania,Stone Town,"Stone Town, Zanzibar, Tanzania",
Radcliffe Camera,OPERATIONAL,"51.7534307,-1.2540476",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zV7ylo_0CLvEkOOuEv8sWQ9Q8sEkhLDVpTSOEj1iM2LkUiN9T7C8fdX62HHvm_1Itu2JXUy6Aej732NFHc_81MV58V_H4CfhY-wDbEKd3ktoYv8crrggfM91Ls3li2dJ3tyEAoTvjKvzEFwhGzsnZEMgXNwX6RnaEPkdSx8FSaFxaf&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, library, point_of_interest, establishment",United Kingdom,Radcliffe Sq,"Radcliffe Camera, Radcliffe Sq, Oxford OX1 3BG, United Kingdom",4.7
Dome of the Rock,OPERATIONAL,"31.7780191,35.2354079",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27y3CU4HjifdtQwB51kwFFMUnpZJls6dekv2JXaKy_TLlWAS1ClJhB422-zOXtsO2_oV5Vh7so5_x-15Mye_G5_AAW871egNxVDKxbkXCe78SImJgbV_xufI3sEoh2PEOp9Qy1DQ_m53a8rG7ESdKDKRAPSg1Wf1ph4kuNHgUZ0-pXTU&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"mosque, tourist_attraction, place_of_worship, point_of_interest, establishment",Jerusalem,,Jerusalem,4.8
Byblos Citadel,OPERATIONAL,"34.1198415,35.6464656",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zLRerBJ-om5xd86N1rbjLs4bDxiG7nf7SF5eIWrmogEHNuBdH7WmxArIY7Jt3TdVHpO4sxNq6DwZB7uYJZMuUz-Lu_z3zgDxI9ZUns6TD3WYPObVCFuNAdRm2J2N9Y6BJYNULi9vgvKqaIvyJX00_varsOyZJ6roK-XGT3_J0cYp98&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Lebanon,4J9W+WHP,"4J9W+WHP, Byblos, Lebanon",4.7
Plaza Sotomayor,OPERATIONAL,"-33.0385622,-71.6287555",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yqf2E9sSfYLFHIV69RU0T6o1vZLklsF-z08-WUd78gm4NT3bGT96AwOArfYnUxjC4Hi1HNcnNMfSc1cDv9Ju9AUkSCmrCZ25BYLMJvH6ozXRjVpJDznLUzyF849cGqj0hxvibB8aoOf4UVJPnCqxpFpHV-GSYMq31DnY9ShvjhncRI&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Chile,Sotomayor,"Sotomayor, Valparaíso, Chile",4.5
