name,description,coordinates,image_url,category,country,city,address,rating,price,website
Ahu Te Pito Kura,OPERATIONAL,"-27.0854358,-109.3015691",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wPE-JK-kO3ALkIl5lh60jruM-F8mcHC_eh-WHMEAgltmZUEBC6bcHNC58E6oFTIAfTUVGjjDIkssxkdJiHm9pXCWwKdS83oCB-XxphwiFzy1iw06NrX9mD_sNM3IIBQMX8Q5joZcc24BR5pttj56wpUC2HzwDoVQW6mpe_vzKRi_lx&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Chile,,"27°05'17.8""S 109°17'58.6""W, Chile",4.6,,
Christ the Redeemer,OPERATIONAL,"-22.951916,-43.2104872",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wpXnrhKorAvDbMBAuPM930Xo7YajM81SWd0TyRiZVzU_wL2Gc75_r60I_LHuSK8e_rDps69LDTYHVb29BoY3VDuZEWDnryqy8XUaYhJPcGA2jn67p4CYYvm_aLITaVvOXoOHUssh3-eqNY29kaJ77RRZ4OP3s2lHDcABmoP9Xugqgv&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Brazil,Parque Nacional da Tijuca - Alto da Boa Vista,"Parque Nacional da Tijuca - Alto da Boa Vista, Rio de Janeiro - RJ, Brazil",4.8,,
Edificio Carrión,OPERATIONAL,"40.42045110000001,-3.7065669",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wAya15Q0nK2bI7j29DAdBrTaK64aSga2S9MZvmYd0k2K3TSueoj53DdGFHOsZ5tvNC1lIXZ1YY7gCYKmNuu5jtPjVsMtcANulO2Csn0wt8zC4XHgNQ2ZAhbdTtaOkER3hG8NJXul7U_MRhMGnNpS3ZZ1ORtfKbBdTOaf_zx3FpyMzv&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Spain,Centro,"C. de Jacometrezo, 2, Centro, 28013 Madrid, Spain",4.6,,
Tower of Pisa,OPERATIONAL,"43.722952,10.396597",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wfI-VMryX37HKPD7My1GCv4pafe14zqvyL6QdvnjDn3ht8ncNfFoqX_3umNaEbTYygrJLcTUpCFhA7M8oPVHXnPZQmCAvJzrEVpx6lSGtX6AXlYVwQ41zO18HMZvIbGT-T2VWmoI3gDmP5tuzmUKitexdzLKKAlelrHeMaQMQS0Ugn&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Italy,Piazza del Duomo,"Piazza del Duomo, 56126 Pisa PI, Italy",4.7,,
Little Western Wall,OPERATIONAL,"31.77847,35.2341115",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wX6ToVsP-EBLFceHm4MhM0JyELz3IaiQ41HMewfXUOlxiVqD2wvFqE6jsmWgCVm64J3vWYQaCpUM90bqR2lHSI1ORVJBxRvtla-HyBfoyfLEg99dpZ2bAsn7PqVfZdO9TjDyIrH_gW4RMDyQSkQMZ8Um5F9E6oNyRjv-8lgcWgU8Yr&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Jerusalem,Q6HM+9JQ,"Q6HM+9JQ, Sha'ar ha-Barzel St, Jerusalem",4.7,,
Journey Behind the Falls,OPERATIONAL,"43.0791958,-79.07849619999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zHNvdRxaFat3TcfSDYTT4fJWS5YSMpi7l41rwI_hc5T83WrfJB3lsU4nTPi6SYTt4wiuIVsfc5RclZvFZcjYXZuHR-pRruoiHPMxDCY-_MjGGY8Ge99m34qxqGl54LQ5aVFLYps0eCQnoj9BjQYFm1XwpWR1pV7geQ0P1G-pwjm3d9&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Canada,Niagara Falls,"6650 Niagara River Pkwy, Niagara Falls, ON L2E 6T2, Canada",4.5,,
Burj Khalifa,OPERATIONAL,"25.197197,55.27437639999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wCycv8tnt6mcXHG-XSFVkDgGFh9ZjdJ_YfLWPnyPnmXSjBbeDpjbRPb4jgggUqAkddTdeMQDELiyYBjS157UGZiskSVGrwK6MPMedLegSrnbGwiGobLIgIMrIIa3OKOpc1fcWjRokoKUN7XTN6C_jQxFr-sl__kJrrni7AaBwMDj--&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"landmark, tourist_attraction, point_of_interest, establishment",1 Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates,,1 Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates,4.7,,
Bran Castle,OPERATIONAL,"45.51490219999999,25.3671637",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27y2jvzGvikeELkqk5usXfAWQXXWDZxzguPwneQM3GytOQPCgm4jBW9m7JSsgBaMPvlJvNedSQn4jgwqQLlUkizmVkfG-FKidW1-ILam8_L6wsFXEEGFgvvH6iKSLUhJ86G7n07GUrpPvLu--DoZxdHjtXcHHgF7nNySyZ0NSoXj2SRu&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, museum, point_of_interest, establishment",Romania,Strada General Traian Moșoiu 24,"Strada General Traian Moșoiu 24, Bran 507025, Romania",4.3,,
Manneken Pis,OPERATIONAL,"50.844993,4.349989",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yVcuFcOcpvrajwVBWRKzIKY0Fm15SkZDYSdyN5tFZNZsGI8CxJvqBtN_eTS_EdbeNGfFIRQjdeA8EOH0BqC-x3PwxNnXh_vKTaNwHZKUF5PZjFGpLa7dd6Y7X4B4C2krW0Vr9r-hGBS8U8yWGyAvWng6NFf5Ugtga8EEkoNev-oZ2y&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",Belgium,,"1000 Brussels, Belgium",4,,
Everest South Summit,OPERATIONAL,"27.9855588,86.9249347",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27znl9YiWbZlsv3VKmkItHl4lP1xSgmogOuIGIW9vxu9b-K5j9KgpoXt-3NTPWenXqDt8ePM_BvmTGVDmJI9hMyD4Vh_7dvQGYPdwK2pSoq68BdumfXCpQdZrj0hqF3e_1AaHMBEjWB7WCqDZ0HC_172T3Ja-MeWxk67OkBJ6xVntv7-&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"park, point_of_interest, establishment",Nepal,XWPF+6XF,"XWPF+6XF, Khumjung 56000, Nepal",4,,
Haram Boundary Markings - Awali Side,OPERATIONAL,"21.341308,39.93989870000001",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27ym-_PpNFXUnb52Bvich9mDGpqIum_1GhoMG7YX9IKYbpYjRnWYQ-aMNuvNoUGgBJz1GAA6kTHCLPG8lMV7hwYa16vcEANtcCANAxp4dWUQTX92ZH56uzahW0kMAI7332_1tT2ym3i5x5LcF2XE7T4zg9RPxY2a81FO1iD4gOytR8FE&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",Saudi Arabia,Al Mashair,"8WRQ+GXC, Al Mashair, Makkah 24253, Saudi Arabia",4.6,,
Brandenburg Gate,OPERATIONAL,"52.5162746,13.3777041",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yBV3GqmNtblAsS055WdQjsJW5w_9pfxGhT-S2MRWIGgjWHQrZQoz22P2iSFmAVOtt5gf_Qc1RY6xM4SK6RHsJ2g9ibBk29YgnrZm5feYZiXxaMjbY_fyIzNMjIczWA-nB8WCig6TZIdrLJVuB7M3WQ_JfZJWpj3lW9W3RSI1dPX5ef&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Germany,Pariser Platz,"Pariser Platz, 10117 Berlin, Germany",4.7,,
St. Peter's Basilica,OPERATIONAL,"41.9021667,12.4539367",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27x0HZGq1cy5mJJ-2QZO7NqU9p-b2wvyL3xSE-m_S4MkxeQ96bH6re36dusIO9K29oR_4SekMs_1CHQHvdT2frJMSX8DLW_4wycfukwFqNi7oI-OeIVkyboa1RzsIMq1F5NI7cRfYpOX2ruLEuBRF_x_UDWlH0O1eoMxRJkRQBHhYoAb&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Vatican City,Piazza San Pietro,"Piazza San Pietro, 00120 Città del Vaticano, Vatican City",4.8,,
Mont Saint-Michel,OPERATIONAL,"48.6361043,-1.511244",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27x-pHp8mRIylJF19Csffsz4tg4icOyezpmgDLhlZm_Hcp535JZF_YZsbxt0IYkLtMrprQeEOVT2TDdVJcINazwMA7rz_vygt9c4QojToqIdHoHdGLMDi6rlICu7XMVC3XP1bZ3g3sHfQhSzc3NRScf3aLaBYqsHppqtHbeW4TRMQ7Dy&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",France,L'Abbaye,"L'Abbaye, 50170 Le Mont-Saint-Michel, France",4.6,,
Mount Rushmore National Memorial George Washington,OPERATIONAL,"43.878763,-103.4590965",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27we4KvHLxxob_GiY8AbRKEntKB-2wy8tpQDPFe-rLaELeYKZgkZclMYvQzREqWf3IbHT0WZWJy7BkMtIsHdwI-oEVPMyCOE8C7iQ7q7duFV-2nfncuuTsd82iAQLvplRBaMziNqDhlAWTZO7oewgU-ygi5OCxc26InwJVvk8A0j-P_p&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",United States,Mt Rushmore,"Mt Rushmore, SD 57751, United States",4.6,,
The Victoria Falls World Heritage Site,OPERATIONAL,"-17.9271184,25.8645107",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27ylTyXOfFSbVqL6WIvH8ijYsoFPEP6c2lhEzmUrqJtzxrFGrmd6f1t9OLuMsMW9a3xJ-TkqqIdAv2GyFoC3Tz1reXh2RommvH9q7uulmpDML7y5te6RaviIDCwVYiqEAaxFLI3aw2IMVLMYisJQZfKkVZMRegbMo7-kIdhotUCYYL55&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",Zambia,3VF7+5R2 Mosi-Oa-Tunya,"3VF7+5R2 Mosi-Oa-Tunya, Livingstone, Zambia",4.7,,
Grandview Point,OPERATIONAL,"35.9984667,-111.9877556",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zJEGCKrKp0wCNJTc2rxKeHrHyIE7wdBJ-BaxQSoa_jLHOWUCx4PixYrh54j7dj08WENDbfEnu5uxrwydjHJB7fL7WfNJoa1uoSKB0GlBofv_EIKamf9n5I02tEeR_NP3WVgVKV1Pr85zVGL7NWhPFlm8fuWg7LungpxicwJQzpRwSZ&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, landmark, point_of_interest, establishment",United States,Grand Canyon Village,"Grand Canyon Village, AZ 86023, United States",4.9,,
Mismi,,"-15.5178669,-71.6936016",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zo0u6te_h-_S8U7V1-Cdkpt452W6GyYJACdX5HvoRhV4kw8E91FpsHAhjrHGGhEAJDww13iqhUqKsNzn2hY5dWYmh69veJc7qRpGIfaJYkSy3UO9P4VPWWFAPUXKldLTkIgplWIoRcJgEVGBa1UaXjhhByhRt_vdWZEsgsCdX9MeU1&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"natural_feature, establishment",Peru,Mismi,"Mismi, 04160, Peru",4.6,,
